"vegetarian","weight","outcome","mean"
"Non-vegetarians","below 170","Negative","44.0"
"Non-vegetarians","below 170","Positive","35.0"
"Non-vegetarians","between 170 and 190","Negative","47.4"
"Non-vegetarians","between 170 and 190","Positive","37.2"
"Non-vegetarians","over 190","Negative","55.1"
"Non-vegetarians","over 190","Positive","40.1"
"Vegetarians","below 170","Negative","43.8"
"Vegetarians","below 170","Positive","34.7"
"Vegetarians","between 170 and 190","Negative","49.3"
"Vegetarians","between 170 and 190","Positive","35.6"
"Vegetarians","over 190","Negative","47.8"
"Vegetarians","over 190","Positive","39.2"
