"loan_amnt","term","home_ownership","annual_inc","loan_status","sub_grade_int_map","region","sex","age","vegetarian","weight"
16000,"36 month loans","Renters",1e+05,"Positive",4,"US West inhabitants","Males",45.2,"Vegetarians",174.615384615385
35000,"36 month loans","Paying off mortgage",114000,"Positive",4,"US West inhabitants","Males",49.008,"Vegetarians",218.461538461538
12250,"36 month loans","Paying off mortgage",65000,"Positive",2,"US West inhabitants","Males",35.68,"Vegetarians",165.961538461538
2525,"36 month loans","Paying off mortgage",75500,"Positive",4,"US West inhabitants","Males",38.536,"Vegetarians",143.519230769231
10750,"60 month loans","Renters",32000,"Positive",7,"US West inhabitants","Males",26.704,"Vegetarians",162.5
3750,"36 month loans","Paying off mortgage",89000,"Positive",4,"US West inhabitants","Males",42.208,"Vegetarians",146.346153846154
5000,"36 month loans","Paying off mortgage",70000,"Positive",3,"US West inhabitants","Males",37.04,"Vegetarians",149.230769230769
11775,"60 month loans","Renters",50000,"Negative",6,"US West inhabitants","Males",31.6,"Vegetarians",164.865384615385
25000,"36 month loans","Renters",95000,"Negative",2,"US West inhabitants","Males",43.84,"Vegetarians",195.384615384615
20000,"36 month loans","Paying off mortgage",120000,"Negative",3,"US West inhabitants","Males",50.64,"Vegetarians",183.846153846154
20000,"36 month loans","Paying off mortgage",65000,"Positive",1,"US West inhabitants","Males",35.68,"Vegetarians",183.846153846154
35000,"36 month loans","Paying off mortgage",75000,"Positive",4,"US West inhabitants","Males",38.4,"Vegetarians",218.461538461538
12000,"36 month loans","Paying off mortgage",75000,"Positive",4,"US West inhabitants","Males",38.4,"Vegetarians",165.384615384615
15000,"36 month loans","Renters",65000,"Negative",6,"US South inhabitants","Males",35.68,"Vegetarians",172.307692307692
6000,"36 month loans","Renters",24000,"Positive",3,"US South inhabitants","Males",24.528,"Vegetarians",151.538461538462
35000,"36 month loans","Paying off mortgage",85000,"Negative",6,"US South inhabitants","Males",41.12,"Vegetarians",218.461538461538
17750,"36 month loans","Paying off mortgage",45760,"Positive",4,"US South inhabitants","Males",30.44672,"Vegetarians",178.653846153846
12000,"60 month loans","Paying off mortgage",69712,"Positive",3,"US South inhabitants","Males",36.961664,"Vegetarians",165.384615384615
4000,"36 month loans","Renters",24960,"Positive",7,"US South inhabitants","Males",24.78912,"Vegetarians",146.923076923077
7250,"36 month loans","Paying off mortgage",41000,"Positive",6,"US South inhabitants","Males",29.152,"Vegetarians",154.423076923077
31700,"60 month loans","Paying off mortgage",70775,"Positive",5,"US South inhabitants","Males",37.2508,"Vegetarians",210.846153846154
27575,"60 month loans","Paying off mortgage",100500,"Positive",4,"US South inhabitants","Males",45.336,"Vegetarians",201.326923076923
18000,"60 month loans","Paying off mortgage",65000,"Positive",4,"US South inhabitants","Males",35.68,"Vegetarians",179.230769230769
11200,"60 month loans","Paying off mortgage",70000,"Positive",5,"US South inhabitants","Males",37.04,"Vegetarians",163.538461538462
5600,"36 month loans","Renters",39714.78,"Positive",3,"US South inhabitants","Males",28.80242016,"Vegetarians",150.615384615385
1000,"36 month loans","Paying off mortgage",72000,"Positive",4,"US South inhabitants","Males",37.584,"Vegetarians",140
17600,"60 month loans","Paying off mortgage",48000,"Positive",7,"US South inhabitants","Males",31.056,"Vegetarians",178.307692307692
18000,"36 month loans","Renters",50000,"Negative",5,"US South inhabitants","Males",31.6,"Vegetarians",179.230769230769
9800,"36 month loans","Renters",50000,"Positive",4,"US South inhabitants","Males",31.6,"Vegetarians",160.307692307692
10000,"36 month loans","Paying off mortgage",90000,"Positive",3,"US South inhabitants","Males",42.48,"Vegetarians",160.769230769231
10000,"36 month loans","Home owners",50000,"Positive",3,"US South inhabitants","Males",31.6,"Vegetarians",160.769230769231
8500,"36 month loans","Home owners",52000,"Negative",3,"US South inhabitants","Males",32.144,"Vegetarians",157.307692307692
12000,"36 month loans","Paying off mortgage",80000,"Positive",4,"US South inhabitants","Males",39.76,"Vegetarians",165.384615384615
8400,"36 month loans","Renters",65000,"Negative",6,"US South inhabitants","Males",35.68,"Vegetarians",157.076923076923
4800,"36 month loans","Paying off mortgage",55000,"Negative",5,"US South inhabitants","Males",32.96,"Vegetarians",148.769230769231
3600,"36 month loans","Paying off mortgage",75000,"Positive",1,"US South inhabitants","Males",38.4,"Vegetarians",146
35000,"36 month loans","Paying off mortgage",85000,"Negative",4,"US South inhabitants","Males",41.12,"Vegetarians",218.461538461538
13000,"60 month loans","Paying off mortgage",50000,"Negative",6,"US South inhabitants","Males",31.6,"Vegetarians",167.692307692308
24000,"36 month loans","Home owners",70000,"Negative",6,"US South inhabitants","Males",37.04,"Vegetarians",193.076923076923
4500,"36 month loans","Home owners",13296,"Negative",7,"US South inhabitants","Males",21.616512,"Vegetarians",148.076923076923
18000,"60 month loans","Home owners",85000,"Negative",6,"US South inhabitants","Males",41.12,"Vegetarians",179.230769230769
1000,"36 month loans","Paying off mortgage",38000,"Positive",3,"US South inhabitants","Males",28.336,"Vegetarians",140
7500,"36 month loans","Paying off mortgage",39996,"Positive",4,"US South inhabitants","Males",28.878912,"Vegetarians",155
10750,"36 month loans","Renters",31488,"Negative",5,"US South inhabitants","Males",26.564736,"Vegetarians",162.5
16000,"60 month loans","Paying off mortgage",80000,"Negative",5,"US South inhabitants","Males",39.76,"Vegetarians",174.615384615385
7800,"36 month loans","Home owners",46000,"Negative",4,"US South inhabitants","Males",30.512,"Vegetarians",155.692307692308
35000,"36 month loans","Paying off mortgage",120000,"Negative",5,"US South inhabitants","Males",50.64,"Vegetarians",218.461538461538
15000,"60 month loans","Home owners",58000,"Negative",6,"US South inhabitants","Males",33.776,"Vegetarians",172.307692307692
12000,"36 month loans","Renters",69580,"Positive",6,"US South inhabitants","Males",36.92576,"Vegetarians",165.384615384615
32000,"60 month loans","Paying off mortgage",137572,"Positive",4,"US South inhabitants","Males",55.419584,"Vegetarians",211.538461538462
