"two_year_recid","sex","age","race","priors_count","juv_fel_count","juv_misd_count","charge","violent","risk_recidivism_score","hand","height"
"Did reoffend","Males",33,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.85682821993669
"Did not reoffend","Males",41,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.80558128601806
"Did reoffend","Males",25,"African-Americans",8,0,0,"Individuals convicted of a Misdemeanor","Violent offences",10,"Left-handed individuals",6.17009262348467
"Did not reoffend","Males",46,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.98365636952525
"Did not reoffend","Males",43,"Others",3,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.58492987693577
"Did reoffend","Males",55,"African-Americans",10,0,0,"Individuals convicted of a Misdemeanor","Violent offences",7,"Left-handed individuals",5.7687241607556
"Did reoffend","Males",41,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.21702640218665
"Did not reoffend","Males",48,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.25375001959471
"Did reoffend","Males",46,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.54168697572271
"Did reoffend","Males",20,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.73482000827835
"Did not reoffend","Males",23,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.4464011717659
"Did reoffend","Males",28,"African-Americans",12,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.81352789936231
"Did reoffend","Males",36,"Caucasians",9,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.79094894427829
"Did reoffend","Males",23,"African-Americans",0,0,0,"Individuals convicted of a Felony","Violent offences",8,"Left-handed individuals",6.09867079067506
"Did reoffend","Females",42,"African-Americans",17,3,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.33014697377708
"Did reoffend","Males",26,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.22143461767233
"Did reoffend","Males",28,"Caucasians",6,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.86856930272371
"Did not reoffend","Males",48,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.63522799474722
"Did reoffend","Males",53,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.73678138463288
"Did reoffend","Males",24,"Others",9,0,1,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",5.84442794524406
"Did not reoffend","Males",31,"Caucasians",7,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.54171164298277
